A191RL1Q225SBEA,UNRATE,PAYEMS,FEDFUNDS
-4.4,7.8,134074,0.15
-0.6,9.0,131835,0.15
1.5,9.5,130685,0.16
4.5,10.0,130061,0.12
1.5,9.8,129807,0.11
3.7,9.9,130132,0.2
3.0,9.4,130442,0.18
2.0,9.4,130642,0.19
-1.0,9.1,130859,0.17
2.9,9.1,131625,0.1
-0.1,9.0,132016,0.07
4.7,8.8,132578,0.07
3.2,8.3,133269,0.08
1.7,8.2,133852,0.14
0.5,8.2,134176,0.16
0.5,7.8,134693,0.16
3.6,8.0,135283,0.14
0.5,7.6,135890,0.15
3.2,7.3,136400,0.09
3.2,7.2,137056,0.09
-1.1,6.6,137567,0.07
5.5,6.2,138312,0.09
5.0,6.2,139084,0.09
2.3,5.7,139841,0.09
3.2,5.7,140609,0.11
3.0,5.4,141234,0.12
1.3,5.2,142016,0.13
0.1,5.0,142610,0.12
2.0,4.9,143215,0.34
1.9,5.0,143892,0.37
2.2,4.8,144525,0.39
2.0,4.9,145058,0.4
2.3,4.7,145695,0.65
2.2,4.4,146176,0.9
3.2,4.3,146737,1.15
3.5,4.1,147202,1.15
2.5,4.1,147767,1.41
3.5,3.9,148475,1.69
2.9,3.9,149185,1.91
1.1,3.8,149852,2.19
3.1,4.0,150587,2.4
2.0,3.6,151012,2.42
